"PlantID" "Year" "Electricity" "SO2" "NOX" "CapStock" "Employees" "HC_Coal" "HC_Oil" "HC_Gas" "Phase1"
"354" 6004 1988 17.3956767123288 91.3432602739726 66.457397260274 2293170245.34144 247 52009.0358034904 293.85655170411 0 0
"355" 6016 1988 5.19313150684931 22.9380821917808 19.4865205479452 882500462.22384 132 15544.7575055014 31.2164970229479 0 0
"356" 6017 1988 10.4453616438356 88.2395890410959 25.9902191780822 1921213243.55712 238 33353.9888560603 112.361993546696 0 0
"357" 6095 1988 12.6903397260274 45.5827123287671 53.7332054794521 1243208429.61216 222 38614.0500049808 28.9386012142356 0 0
"358" 6139 1988 20.9984383561644 82.9184109589041 140.062684931507 1206427032.0324 132 65104.1734148055 115.670312876712 0 0
"359" 6146 1988 41.0464739726027 144.55098630137 122.365068493151 2509580431.14504 661 136228.528783299 239.20485810411 0 0
"360" 6147 1988 32.272298630137 188.10904109589 105.566164383562 1807454754.12264 499 106923.341481468 386.264654136986 0 0
"361" 6155 1988 18.2614794520548 181.689095890411 63.4402739726027 1375894887.71928 246 51283.800285074 56.8268350520548 0 0
"362" 6178 1988 11.7134273972603 39.3500273972603 39.8070136986301 731104968.65736 114 33543.8897049863 26.9530477889918 0 0
"363" 6193 1988 19.5065232876712 72.8975890410959 84.8003835616438 1077037946.07432 148 58441.5110419726 0 261.26251070137 0
"364" 6248 1988 8.7271205479452 58.1264931506849 60.6353698630137 932727446.36544 111 27528.2014377699 69.497721961989 0 0
"365" 6264 1988 18.1479561643836 90.765698630137 52.5592602739726 1754410571.47056 252 49920.4906750356 176.925267173737 0 0
"366" 8042 1988 33.4456191780822 213.781808219178 131.693369863014 1543945281.81576 185 88068.0145106959 94.1240057643123 0 0
"367" 8102 1988 33.2218520547945 954.289671232877 163.262602739726 2693343509.87832 333 97693.3714558685 176.53861133137 0 0
"368" 8226 1988 9.20546301369863 106.937260273973 27.8238082191781 972733653.87816 162 26701.6385325699 0 276.183386893151 0
"369" 3 1989 26.1942410958904 170.138465753425 80.5021917808219 2006695138.98504 449 73952.8172967945 41.6267779694795 502.851192156164 0
"370" 8 1989 16.4271123287671 216.80295890411 53.471698630137 1879482740.55096 499 47415.5866983945 142.334252329759 0 0
"371" 470 1989 10.2777342465753 33.781397260274 47.6505753424657 932920832.9028 110 31210.4295907233 48.414230993589 9.09384166027397 0
"372" 602 1989 13.1495068493151 67.3598356164384 38.8221095890411 1261978732.21392 124 37461.1147126027 129.769411153315 0 0
"373" 641 1989 13.0850082191781 314.711835616438 60.1805205479452 1485726220.04064 241 40357.2212115616 36.9605431232877 323.902569863014 0
"374" 708 1989 13.3976575342466 192.994219178082 62.5783561643836 1027478675.66136 303 41581.1597370904 47.3438927835616 0 0
"375" 709 1989 28.5436794520548 278.202876712329 122.641315068493 1676927098.32552 468 80698.7560320329 36.7649490082192 0 0
"376" 728 1989 14.0447232876712 246.116328767123 46.3356164383562 1593139928.16504 445 43192.3929172932 111.562836460274 0 0
"377" 856 1989 8.72176164383562 62.8199452054794 37.6285753424658 1037773155.79944 161 25517.4099482301 38.8921226897096 0 0
"378" 861 1989 10.0478383561644 349.435479452055 84.077095890411 1221400568.96832 280 31119.9705242301 43.197496510537 0 0
"379" 862 1989 0.960799178082192 26.3674794520548 5.15117808219178 492191280.530904 102 3186.97357607671 22.9502681811123 0 0
"380" 863 1989 1.02987342465753 23.6695068493151 3.76104109589041 385375165.357656 93 3329.72949864658 36.9764705544164 0 0
"381" 864 1989 2.79736547945206 66.3768219178082 9.95353424657534 739010190.98976 146 8712.85820783014 142.720925033688 0 0
"382" 876 1989 10.667898630137 386.287726027397 97.6398356164384 1522830220.57368 300 35425.2960085808 0 78.661272690411 0
"383" 879 1989 9.2867205479452 43.6877808219178 51.2482739726027 3026321518.5984 367 33573.2875968329 0 149.264967123288 0
"384" 887 1989 16.3636054794521 273.524767123288 55.5519178082192 2014142664.07008 358 49706.8872880274 22.932570286011 0 0
"385" 889 1989 24.0330331506849 622.548219178082 161.330904109589 1919747967.1692 263 71813.4385746411 88.2871367671233 0 0
"386" 983 1989 27.3412356164384 767.714931506849 180.747671232877 1889928163.94088 380 78567.5498679288 16.5108411616438 0 0
"387" 988 1989 12.3973479452055 194.329150684932 74.0448767123288 1855816619.11416 338 35891.6251385096 207.825957264033 0 0
"388" 991 1989 1.62940547945205 35.4815616438356 6.32071232876712 651597528.91752 100 5447.90006973699 52.7581773228329 0 0
"389" 994 1989 24.7864383561644 260.52602739726 78.4558082191781 3048822532.91208 328 75088.2385653863 91.5614294657425 0 0
"390" 1004 1989 0.341121506849315 10.7360273972603 2.54643835616438 364510865.32152 70 1442.63410415342 19.8662919287671 0 0
"391" 1008 1989 6.56964657534246 142.732301369863 35.1138904109589 818438525.48088 160 20428.0730744712 135.367989189041 0 0
"392" 1012 1989 5.56567342465753 155.523643835616 30.1924931506849 572797096.22592 87 17596.2274322137 10.238340230137 15.2512825068493 0
"393" 1047 1989 2.55418668493151 17.1366575342466 18.6434520547945 522077316.340896 24 8860.89067509041 39.6583929863014 0 0
"394" 1250 1989 5.87323561643836 13.7016712328767 23.5306849315069 654389785.67784 135 19371.4129632493 0 246.453964627397 0
"395" 1355 1989 9.04522739726027 160.154219178082 31.7454520547945 720219818.1372 159 27952.304720926 52.8778573150685 0 0
"396" 1356 1989 22.0553643835616 273.601917808219 80.0982191780822 2174907198.8892 237 67980.6503260438 135.97163309589 0 0
"397" 1357 1989 2.86058904109589 59.1175616438356 14.9832876712329 403647533.642472 109 9440.10651494795 7.55397961643836 0 0
"398" 1364 1989 22.463802739726 528.374767123288 80.5230136986301 1918505258.56128 492 62428.1796685808 200.120567568658 63.2067682191781 0
"399" 1570 1989 1.58218630136986 12.7141917808219 5.27950684931507 332600839.355712 66 4989.25756370959 26.6277781479452 0 0
"400" 1606 1989 2.99944657534247 26.3307945205479 12.1927671232877 214252819.118088 67 8521.72967663014 7.90909422159452 0 0
"401" 1695 1989 6.49669315068493 39.6701095890411 22.0603287671233 834969816.88272 167 19337.6400582082 76.8752318465753 0 0
"402" 1745 1989 8.87399726027397 53.4546575342466 27.3201917808219 1989700885.2108 366 26613.8919292932 88.4255870497808 0 0
"403" 1943 1989 1.05013232876712 4.66550684931507 6.21112328767123 243358767.097296 41 3619.2147306411 15.5800829589041 0 0
"404" 2080 1989 4.68995835616438 18.6125479452055 23.0788767123288 610803968.71968 162 15147.1342610959 46.6609894200493 0 0
"405" 2103 1989 31.3893232876712 667.514164383562 104.003150684932 2970031806.48912 478 91558.1417823945 218.991218005479 0 0
"406" 2107 1989 12.7428328767123 215.146684931507 107.477479452055 1146754788.74136 248 38208.8042106082 35.1125159671233 0 0
"407" 2526 1989 2.34000219178082 38.5365753424658 9.19413698630137 456595410.827952 86 7537.79026905206 64.8700157841534 0 0
